id,aspect_ratio,energy,orientation,overhang,status,wwr,glass_id,request_id,slave_id
214604,5,110,0,34,completed,0.2,103,10,3
214605,5,109,0,45,completed,0.2,103,10,3
214606,5,116,0,1,completed,0.2,105,10,3
214607,5,115,0,12,completed,0.2,105,10,3
214608,5,114,0,23,completed,0.2,105,10,3
214609,5,113,0,34,completed,0.2,105,10,3
214610,5,112,0,45,completed,0.2,105,10,3
214611,1,105,0,1,completed,0.3,108,10,3
214612,1,104,0,12,completed,0.3,108,10,3
214613,1,104,0,23,completed,0.3,108,10,3
214614,1,104,0,34,completed,0.3,108,10,3
214615,1,103,0,45,completed,0.3,108,10,3
214616,1,104,0,1,completed,0.3,106,10,3
214617,1,104,0,12,completed,0.3,106,10,3
214618,1,103,0,23,completed,0.3,106,10,3
214619,1,103,0,34,completed,0.3,106,10,3
214620,1,103,0,45,completed,0.3,106,10,3
214621,1,116,0,1,completed,0.3,107,10,3
214622,1,115,0,12,completed,0.3,107,10,3
214623,1,114,0,23,completed,0.3,107,10,3
214624,1,113,0,34,completed,0.3,107,10,3
214625,1,111,0,45,completed,0.3,107,10,3
214626,1,105,0,1,completed,0.3,104,10,3
214627,1,105,0,12,completed,0.3,104,10,3
214628,1,104,0,23,completed,0.3,104,10,3
214629,1,104,0,34,completed,0.3,104,10,3
214630,1,103,0,45,completed,0.3,104,10,3
214631,1,112,0,1,completed,0.3,103,10,3
214632,1,111,0,12,completed,0.3,103,10,3
214633,1,110,0,23,completed,0.3,103,10,3
214634,1,109,0,34,completed,0.3,103,10,3
214635,1,108,0,45,completed,0.3,103,10,3
214636,1,115,0,1,completed,0.3,105,10,3
214637,1,114,0,12,completed,0.3,105,10,3
214638,1,113,0,23,completed,0.3,105,10,3
214639,1,111,0,34,completed,0.3,105,10,3
214640,1,110,0,45,completed,0.3,105,10,3
214641,2,106,0,1,completed,0.3,108,10,3
214642,2,105,0,12,completed,0.3,108,10,3
214643,2,105,0,23,completed,0.3,108,10,3
214644,2,104,0,34,completed,0.3,108,10,3
214645,2,103,0,45,completed,0.3,108,10,3
214646,2,105,0,1,completed,0.3,106,10,3
214647,2,104,0,12,completed,0.3,106,10,3
214648,2,104,0,23,completed,0.3,106,10,3
214649,2,103,0,34,completed,0.3,106,10,3
214650,2,103,0,45,completed,0.3,106,10,3
214651,2,117,0,1,completed,0.3,107,10,3
214652,2,116,0,12,completed,0.3,107,10,3
